SMA_period,total_return,num_trades,max_drawdown,sharpe
5,-4.843792812445172,359,-6.259835643065672,-33.1662010475695
10,-2.0250912277929456,224,-4.304416365699351,-13.678272656203221
20,-0.9284566439264891,142,-2.2959490901267094,-6.144659772930316
50,-2.090799305931796,107,-4.1125137090689865,-14.524031995143217
