timestamp,mid_price,equity_10
2024-01-24 00:00:00,39881.95,100000.0
2024-01-24 00:01:00,39926.55,100000.0
2024-01-24 00:02:00,39877.05,100000.0
2024-01-24 00:03:00,39927.45,100000.0
2024-01-24 00:04:00,39926.55,100000.0
2024-01-24 00:05:00,39911.15,100000.0
2024-01-24 00:06:00,39945.15,100000.0
2024-01-24 00:07:00,39938.65,100000.0
2024-01-24 00:08:00,39940.25,100000.0
2024-01-24 00:09:00,39892.75,100000.0
2024-01-24 00:10:00,39882.55,100000.0
2024-01-24 00:11:00,39826.15,100000.0
2024-01-24 00:12:00,39812.55,100000.0
2024-01-24 00:13:00,39815.15,100000.0
2024-01-24 00:14:00,39807.95,100000.0
2024-01-24 00:15:00,39806.15,100000.0
2024-01-24 00:16:00,39797.35,100000.0
2024-01-24 00:17:00,39787.25,100000.0
2024-01-24 00:18:00,39821.25,100000.0
2024-01-24 00:19:00,39837.65,100000.0
2024-01-24 00:20:00,39860.85,100058.23636685396
2024-01-24 00:21:00,39886.35,100122.2461666288
2024-01-24 00:22:00,39921.25,100209.8517357324
2024-01-24 00:23:00,39893.95,100141.32359714992
2024-01-24 00:24:00,39888.85,100128.52163719496
2024-01-24 00:25:00,39857.95,100050.9568209972
2024-01-24 00:26:00,39874.85,100093.37900202446
2024-01-24 00:27:00,39863.75,100065.51591271072
2024-01-24 00:28:00,39865.65,100040.73440576941
2024-01-24 00:29:00,39880.95,100002.3362070805
2024-01-24 00:30:00,39917.25,100073.34056262682
2024-01-24 00:31:00,39930.05,100105.43041749414
2024-01-24 00:32:00,39949.95,100155.32011373312
2024-01-24 00:33:00,39898.75,100026.96069426394
2024-01-24 00:34:00,39928.45,100101.4191856357
2024-01-24 00:35:00,39947.35,100148.8018619632
2024-01-24 00:36:00,39935.95,100120.221834972
2024-01-24 00:37:00,39947.95,100150.3060739101
2024-01-24 00:38:00,39939.55,100129.24710665345
2024-01-24 00:39:00,39944.65,100142.03290820213
2024-01-24 00:40:00,39942.55,100136.76816638798
2024-01-24 00:41:00,39949.85,100155.06941174198
2024-01-24 00:42:00,39965.45,100194.17892236149
2024-01-24 00:43:00,39967.95,100200.44647214026
2024-01-24 00:44:00,39996.95,100273.15004957397
2024-01-24 00:45:00,39988.05,100250.83757236158
2024-01-24 00:46:00,40027.45,100349.61415687496
2024-01-24 00:47:00,40063.25,100439.36546970694
2024-01-24 00:48:00,40053.15,100414.04456860072
2024-01-24 00:49:00,40089.95,100506.30290134418
2024-01-24 00:50:00,40118.25,100577.25156483985
2024-01-24 00:51:00,40161.65,100686.0562289993
2024-01-24 00:52:00,40209.35,100805.6410787782
2024-01-24 00:53:00,40225.85,100847.00690731806
2024-01-24 00:54:00,40197.05,100774.80473386667
2024-01-24 00:55:00,40150.05,100656.97479802581
2024-01-24 00:56:00,40153.85,100666.50147368952
2024-01-24 00:57:00,40168.75,100703.856070371
2024-01-24 00:58:00,40212.25,100812.91143652156
2024-01-24 00:59:00,40166.85,100699.09273253912
2024-01-24 01:00:00,40125.05,100783.72538760716
2024-01-24 01:01:00,40110.15,100821.07251336929
2024-01-24 01:02:00,40062.95,100939.38018692449
2024-01-24 01:03:00,40040.05,100996.77946074681
2024-01-24 01:04:00,40058.95,100949.4062609546
2024-01-24 01:05:00,40056.75,100954.92060167115
2024-01-24 01:06:00,40038.95,100999.5366311051
2024-01-24 01:07:00,40045.15,100983.99621635844
2024-01-24 01:08:00,40012.25,101066.46067525602
2024-01-24 01:09:00,40009.05,101074.4815344801
2024-01-24 01:10:00,39994.55,101110.82605283921
2024-01-24 01:11:00,39965.05,101184.76834881121
2024-01-24 01:12:00,39937.05,101254.95086702192
2024-01-24 01:13:00,39952.55,101216.09983015528
2024-01-24 01:14:00,39962.15,101192.03725248303
2024-01-24 01:15:00,39934.55,101261.21716329073
2024-01-24 01:16:00,39933.85,101262.97172624602
2024-01-24 01:17:00,39945.45,101233.89611155872
2024-01-24 01:18:00,39912.75,101315.8592667548
2024-01-24 01:19:00,39890.25,101372.2559331741
2024-01-24 01:20:00,39833.05,101515.62879180456
2024-01-24 01:21:00,39879.35,101399.57698490615
2024-01-24 01:22:00,39893.95,101362.98181469628
2024-01-24 01:23:00,39897.25,101354.71030362144
2024-01-24 01:24:00,39897.25,101354.71030362144
2024-01-24 01:25:00,39906.25,101332.1516370537
2024-01-24 01:26:00,39927.95,101366.97602355287
2024-01-24 01:27:00,39937.95,101392.36349674485
2024-01-24 01:28:00,39912.65,101328.13318956915
2024-01-24 01:29:00,39942.25,101403.2801102174
2024-01-24 01:30:00,39953.25,101431.20633072857
2024-01-24 01:31:00,39941.55,101401.50298709398
2024-01-24 01:32:00,39951.65,101427.14433501786
2024-01-24 01:33:00,39952.55,101429.42920760515
2024-01-24 01:34:00,39915.65,101335.74943152675
2024-01-24 01:35:00,39856.45,101465.74606416869
2024-01-24 01:36:00,39869.25,101433.2565976761
2024-01-24 01:37:00,39865.45,101442.9019080411
2024-01-24 01:38:00,39899.05,101357.61705849803
2024-01-24 01:39:00,39872.65,101424.62658313899
2024-01-24 01:40:00,39876.75,101414.2198009031
2024-01-24 01:41:00,39881.45,101402.29007492535
2024-01-24 01:42:00,39874.05,101421.07304774136
2024-01-24 01:43:00,39830.25,101532.24794089572
2024-01-24 01:44:00,39861.45,101453.05486632003
2024-01-24 01:45:00,39852.85,101474.88372661974
2024-01-24 01:46:00,39893.15,101372.59267195946
2024-01-24 01:47:00,39925.35,101434.1252968705
2024-01-24 01:48:00,39868.45,101289.56546885666
2024-01-24 01:49:00,39868.75,101268.54552984347
2024-01-24 01:50:00,39856.35,101300.04260117911
2024-01-24 01:51:00,39850.35,101315.28311956734
2024-01-24 01:52:00,39854.95,101303.59872213638
2024-01-24 01:53:00,39816.15,101402.15407438015
2024-01-24 01:54:00,39825.05,101379.54730543762
2024-01-24 01:55:00,39807.05,101425.26886060226
2024-01-24 01:56:00,39788.55,101472.26045896592
2024-01-24 01:57:00,39779.95,101494.10520198905
2024-01-24 01:58:00,39792.75,101461.59209609417
2024-01-24 01:59:00,39763.15,101536.77865347602
2024-01-24 02:00:00,39777.35,101500.70942662393
2024-01-24 02:01:00,39747.05,101577.6740444844
2024-01-24 02:02:00,39692.65,101715.85474453754
2024-01-24 02:03:00,39737.65,101601.55085662594
2024-01-24 02:04:00,39756.15,101554.55925826228
2024-01-24 02:05:00,39792.45,101462.3541220136
2024-01-24 02:06:00,39807.55,101480.55576579973
2024-01-24 02:07:00,39793.85,101445.63064194779
