time,type,price
2024-01-24 16:23:00,buy,39971.55
2024-01-24 16:34:00,sell,39989.05
2024-01-24 16:43:00,buy,39972.95
2024-01-24 17:00:00,sell,40138.85
2024-01-24 17:11:00,buy,40135.65
2024-01-24 17:13:00,sell,40102.65
2024-01-24 17:22:00,buy,40095.95
2024-01-24 17:27:00,sell,40055.05
2024-01-24 17:32:00,buy,40097.25
2024-01-24 17:33:00,sell,40060.35
2024-01-24 17:36:00,buy,40112.75
2024-01-24 17:45:00,sell,40137.25
2024-01-24 17:58:00,buy,40113.65
2024-01-24 18:05:00,sell,40101.15
2024-01-24 18:27:00,buy,39757.25
2024-01-24 18:45:00,sell,39817.65
2024-01-24 19:00:00,buy,39790.25
2024-01-24 19:01:00,sell,39759.95
2024-01-24 19:03:00,buy,39778.05
2024-01-24 19:09:00,sell,39779.05
2024-01-24 19:11:00,buy,39827.95
2024-01-24 19:17:00,sell,39794.75
2024-01-24 19:30:00,buy,39767.55
2024-01-24 19:33:00,sell,39747.25
2024-01-24 19:34:00,buy,39756.25
2024-01-24 19:35:00,sell,39737.55
2024-01-24 19:45:00,buy,39709.15
2024-01-24 19:46:00,sell,39666.15
2024-01-24 19:49:00,buy,39681.95
2024-01-24 20:14:00,sell,39924.75
2024-01-24 20:28:00,buy,39852.65
2024-01-24 20:30:00,sell,39834.35
2024-01-24 20:39:00,buy,39779.35
2024-01-24 20:40:00,sell,39730.05
2024-01-24 20:52:00,buy,39676.45
2024-01-24 20:53:00,sell,39630.15
2024-01-24 20:54:00,buy,39659.55
2024-01-24 20:55:00,sell,39536.85
2024-01-24 20:58:00,buy,39660.75
2024-01-24 20:59:00,sell,39547.95
2024-01-24 21:00:00,buy,39621.55
2024-01-24 21:09:00,sell,39651.45
2024-01-24 21:13:00,buy,39663.25
2024-01-24 21:16:00,sell,39660.85
2024-01-24 21:19:00,buy,39663.05
2024-01-24 21:23:00,sell,39667.55
2024-01-24 21:25:00,buy,39675.95
2024-01-24 21:34:00,sell,39707.15
2024-01-24 21:41:00,buy,39696.55
2024-01-24 21:50:00,sell,39718.95
2024-01-24 21:52:00,buy,39738.85
2024-01-24 22:00:00,sell,39753.25
2024-01-24 22:01:00,buy,39770.75
2024-01-24 22:05:00,sell,39770.95
2024-01-24 22:09:00,buy,39799.75
2024-01-24 22:18:00,sell,39829.05
2024-01-24 22:21:00,buy,39870.85
2024-01-24 22:23:00,sell,39852.85
2024-01-24 22:24:00,buy,39866.95
2024-01-24 22:28:00,sell,39848.45
2024-01-24 22:31:00,buy,39870.95
2024-01-24 22:33:00,sell,39816.85
2024-01-24 22:37:00,buy,39853.45
2024-01-24 22:40:00,sell,39805.05
2024-01-24 22:51:00,buy,39808.15
2024-01-24 23:00:00,sell,39844.45
2024-01-24 23:02:00,buy,39864.75
2024-01-24 23:28:00,sell,40098.85
2024-01-24 23:36:00,buy,40113.95
2024-01-24 23:45:00,sell,40126.0
2024-01-24 23:46:00,buy,40148.25
2024-01-24 23:52:00,sell,40134.65
